GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,GAME_STATUS_TEXT
2026-04-10T00:00:00,0022501171,1610612766,1610612765,7:00 pm ET
2026-04-10T00:00:00,0022501172,1610612764,1610612748,7:00 pm ET
2026-04-10T00:00:00,0022501173,1610612737,1610612739,7:00 pm ET
2026-04-10T00:00:00,0022501174,1610612738,1610612740,7:30 pm ET
2026-04-10T00:00:00,0022501175,1610612754,1610612755,7:30 pm ET
2026-04-10T00:00:00,0022501176,1610612752,1610612761,7:30 pm ET
2026-04-10T00:00:00,0022501177,1610612741,1610612753,8:00 pm ET
2026-04-10T00:00:00,0022501179,1610612749,1610612751,8:00 pm ET
2026-04-10T00:00:00,0022501180,1610612759,1610612742,8:00 pm ET
2026-04-10T00:00:00,0022501182,1610612743,1610612760,9:00 pm ET
2026-04-10T00:00:00,0022501178,1610612745,1610612750,9:30 pm ET
2026-04-10T00:00:00,0022501181,1610612762,1610612763,9:30 pm ET
2026-04-10T00:00:00,0022501183,1610612757,1610612746,10:00 pm ET
2026-04-10T00:00:00,0022501184,1610612758,1610612744,10:00 pm ET
2026-04-10T00:00:00,0022501185,1610612747,1610612756,10:30 pm ET
